"","Long","Lat","texture_class","clay_content","bulk_density","aluminium_extractable","carbon_total","calcium_extractable","cation_exchange_capacity","iron_extractable","potassium_extractable","magnesium_extractable","nitrogen_total","carbon_organic","phosphorous_extractable","sulphur_extractable","zinc_extractable","ph","sand_content","silt_content","stone_content"
"2528",2.97827,8.55384,"Sandy Loam",15,1.24,120.5,15.4,444.9,5,72.7,72.7,89,0.9,8,7.2,5,1.5,6,67,16,2.7
"2529",3.02592,8.55384,"Sandy Loam",15,1.26,120.5,17.2,491.7,5.7,72.7,80.5,108.9,1,8,8,6.4,2,6,62,20,2.7
"2530",3.07357,8.55384,"Sandy Loam",17,1.22,133.3,15.4,491.7,6.4,65.7,72.7,98.5,0.9,8,8,5,1.2,6.1,66,17,6.4
"2531",3.12122,8.55384,"Sandy Loam",14,1.21,133.3,13.9,491.7,5.7,72.7,65.7,98.5,0.9,7.2,7.2,5,1.5,6,69,15,5
"2532",3.16887,8.55384,"Sandy Loam",13,1.2,147.4,17.2,444.9,5.7,80.5,72.7,108.9,1.1,8,8,5.7,1.5,6,60,20,2.7
"2533",3.21652,8.55384,"Sandy Loam",12,1.22,133.3,15.4,402.4,5,72.7,72.7,98.5,0.9,8,9,5,1.5,6.2,65,15,3.5
"2534",3.26417,8.55384,"Sandy Loam",14,1.21,147.4,15.4,402.4,6.4,72.7,72.7,108.9,1.2,8,8,5,1.2,5.9,64,18,2.7
"2535",3.31183,8.55384,"Sandy Loam",18,1.28,147.4,17.2,543.6,8,72.7,89,133.3,1,8,10,5.7,1.5,6,64,18,4.5
"2536",3.35948,8.55384,"Sandy Loam",16,1.26,133.3,17.2,491.7,7.2,72.7,72.7,133.3,0.8,7.2,8,5.7,1.5,6.1,63,19,2.7
"2537",3.40713,8.55384,"Sandy Loam",17,1.24,133.3,15.4,491.7,6.4,72.7,72.7,133.3,1,7.2,7.2,5.7,1.5,6,64,16,3.1
"2538",3.46167,8.54805,"Sandy Loam",16,1.3,120.5,13.9,543.6,7.2,65.7,80.5,108.9,0.8,7.2,9,5,1.7,6.1,66,18,4
"2539",3.50243,8.55384,"Sandy Loam",15,1.26,133.3,15.4,444.9,6.4,80.5,65.7,108.9,0.8,7.2,8,6.4,1.7,5.9,70,16,3.5
"2540",3.55008,8.55384,"Sandy Loam",16,1.25,120.5,15.4,491.7,5.7,72.7,89,108.9,1,8,8,5.7,1.5,6.1,59,19,4
"2541",3.59773,8.55384,"Sandy Loam",18,1.2,163,15.4,491.7,5.7,72.7,80.5,120.5,1.1,8,8,5.7,1.5,6,61,19,5
"2542",3.63995,8.55312,"Sandy Loam",15,1.2,133.3,15.4,491.7,5,72.7,72.7,98.5,1.1,8,8,5,1.2,6,65,17,3.1
"2543",3.69304,8.55384,"Sandy Loam",14,1.22,120.5,21.2,402.4,5.7,89,80.5,89,1.1,8,10,5.7,1.7,5.9,57,19,2.3
"2544",3.74069,8.55384,"Sandy Loam",19,1.22,163,19.1,329.3,6.4,72.7,72.7,72.7,1.7,8,8,7.2,1.7,5.8,61,18,2.7
